date,expiry,strike,option_type,open,high,low,close,volume
2024-01-01,2024-01-25,21750,PE,122.86,135.4,112.83,125.37,100000
2024-01-01,2024-01-25,21800,CE,55.24,60.88,50.73,56.37,100000
2024-01-01,2024-01-25,21800,PE,171.86,189.4,157.83,175.37,100000
2024-01-02,2024-01-04,21600,CE,102.48,112.94,94.11,104.57,100000
2024-01-02,2024-01-04,21600,PE,24.08,26.54,22.11,24.57,100000
2024-01-02,2024-01-04,21650,CE,53.48,58.94,49.11,54.57,100000
2024-01-02,2024-01-04,21650,PE,24.08,26.54,22.11,24.57,100000
2024-01-02,2024-01-04,21700,CE,24.08,26.54,22.11,24.57,100000
2024-01-02,2024-01-04,21700,PE,43.68,48.14,40.11,44.57,100000
2024-01-02,2024-01-04,21750,CE,24.08,26.54,22.11,24.57,100000
2024-01-02,2024-01-04,21750,PE,92.68,102.14,85.11,94.57,100000
2024-01-02,2024-01-04,21800,CE,24.08,26.54,22.11,24.57,100000
2024-01-02,2024-01-04,21800,PE,141.68,156.14,130.11,144.57,100000
2024-01-02,2024-01-11,21600,CE,112.39,123.86,103.22,114.69,100000
2024-01-02,2024-01-11,21600,PE,33.99,37.46,31.22,34.69,100000
2024-01-02,2024-01-11,21650,CE,63.39,69.86,58.22,64.69,100000
2024-01-02,2024-01-11,21650,PE,33.99,37.46,31.22,34.69,100000
2024-01-02,2024-01-11,21700,CE,33.99,37.46,31.22,34.69,100000
2024-01-02,2024-01-11,21700,PE,53.59,59.06,49.22,54.69,100000
2024-01-02,2024-01-11,21750,CE,33.99,37.46,31.22,34.69,100000
2024-01-02,2024-01-11,21750,PE,102.59,113.06,94.22,104.69,100000
2024-01-02,2024-01-11,21800,CE,33.99,37.46,31.22,34.69,100000
2024-01-02,2024-01-11,21800,PE,151.59,167.06,139.22,154.69,100000
2024-01-02,2024-01-18,21600,CE,122.31,134.79,112.32,124.81,100000
2024-01-02,2024-01-18,21600,PE,43.91,48.39,40.32,44.81,100000
2024-01-02,2024-01-18,21650,CE,73.31,80.79,67.32,74.81,100000
2024-01-02,2024-01-18,21650,PE,43.91,48.39,40.32,44.81,100000
2024-01-02,2024-01-18,21700,CE,43.91,48.39,40.32,44.81,100000
2024-01-02,2024-01-18,21700,PE,63.51,69.99,58.32,64.81,100000
2024-01-02,2024-01-18,21750,CE,43.91,48.39,40.32,44.81,100000
2024-01-02,2024-01-18,21750,PE,112.51,123.99,103.32,114.81,100000
2024-01-02,2024-01-18,21800,CE,43.91,48.39,40.32,44.81,100000
2024-01-02,2024-01-18,21800,PE,161.51,177.99,148.32,164.81,100000
2024-01-02,2024-01-25,21600,CE,132.22,145.72,121.43,134.92,100000
2024-01-02,2024-01-25,21600,PE,53.82,59.32,49.43,54.92,100000
2024-01-02,2024-01-25,21650,CE,83.22,91.72,76.43,84.92,100000
2024-01-02,2024-01-25,21650,PE,53.82,59.32,49.43,54.92,100000
2024-01-02,2024-01-25,21700,CE,53.82,59.32,49.43,54.92,100000
2024-01-02,2024-01-25,21700,PE,73.42,80.92,67.43,74.92,100000
2024-01-02,2024-01-25,21750,CE,53.82,59.32,49.43,54.92,100000
2024-01-02,2024-01-25,21750,PE,122.42,134.92,112.43,124.92,100000
2024-01-02,2024-01-25,21800,CE,53.82,59.32,49.43,54.92,100000
2024-01-02,2024-01-25,21800,PE,171.42,188.92,157.43,174.92,100000
2024-01-03,2024-01-04,21600,CE,117.74,129.75,108.13,120.14,100000
2024-01-03,2024-01-04,21600,PE,22.68,24.99,20.83,23.14,100000
2024-01-03,2024-01-04,21650,CE,68.74,75.75,63.13,70.14,100000
2024-01-03,2024-01-04,21650,PE,22.68,24.99,20.83,23.14,100000
2024-01-03,2024-01-04,21700,CE,22.68,24.99,20.83,23.14,100000
2024-01-03,2024-01-04,21700,PE,25.62,28.23,23.53,26.14,100000
2024-01-03,2024-01-04,21750,CE,22.68,24.99,20.83,23.14,100000
2024-01-03,2024-01-04,21750,PE,74.62,82.23,68.53,76.14,100000
2024-01-03,2024-01-04,21800,CE,22.68,24.99,20.83,23.14,100000
2024-01-03,2024-01-04,21800,PE,123.62,136.23,113.53,126.14,100000
2024-01-03,2024-01-11,21600,CE,127.66,140.69,117.24,130.27,100000
2024-01-03,2024-01-11,21600,PE,32.6,35.93,29.94,33.27,100000
2024-01-03,2024-01-11,21650,CE,78.66,86.69,72.24,80.27,100000
2024-01-03,2024-01-11,21650,PE,32.6,35.93,29.94,33.27,100000
2024-01-03,2024-01-11,21700,CE,32.6,35.93,29.94,33.27,100000
2024-01-03,2024-01-11,21700,PE,35.54,39.17,32.64,36.27,100000
2024-01-03,2024-01-11,21750,CE,32.6,35.93,29.94,33.27,100000
2024-01-03,2024-01-11,21750,PE,84.54,93.17,77.64,86.27,100000
2024-01-03,2024-01-11,21800,CE,32.6,35.93,29.94,33.27,100000
2024-01-03,2024-01-11,21800,PE,133.54,147.17,122.64,136.27,100000
2024-01-03,2024-01-18,21600,CE,137.59,151.63,126.35,140.39,100000
2024-01-03,2024-01-18,21600,PE,42.53,46.87,39.05,43.39,100000
2024-01-03,2024-01-18,21650,CE,88.59,97.63,81.35,90.39,100000
2024-01-03,2024-01-18,21650,PE,42.53,46.87,39.05,43.39,100000
2024-01-03,2024-01-18,21700,CE,42.53,46.87,39.05,43.39,100000
2024-01-03,2024-01-18,21700,PE,45.47,50.11,41.75,46.39,100000
2024-01-03,2024-01-18,21750,CE,42.53,46.87,39.05,43.39,100000
2024-01-03,2024-01-18,21750,PE,94.47,104.11,86.75,96.39,100000
2024-01-03,2024-01-18,21800,CE,42.53,46.87,39.05,43.39,100000
2024-01-03,2024-01-18,21800,PE,143.47,158.11,131.75,146.39,100000
2024-01-03,2024-01-25,21600,CE,147.51,162.56,135.47,150.52,100000
2024-01-03,2024-01-25,21600,PE,52.45,57.8,48.17,53.52,100000
2024-01-03,2024-01-25,21650,CE,98.51,108.56,90.47,100.52,100000
2024-01-03,2024-01-25,21650,PE,52.45,57.8,48.17,53.52,100000
2024-01-03,2024-01-25,21700,CE,52.45,57.8,48.17,53.52,100000
2024-01-03,2024-01-25,21700,PE,55.39,61.04,50.87,56.52,100000
2024-01-03,2024-01-25,21750,CE,52.45,57.8,48.17,53.52,100000
2024-01-03,2024-01-25,21750,PE,104.39,115.04,95.87,106.52,100000
2024-01-03,2024-01-25,21800,CE,52.45,57.8,48.17,53.52,100000
2024-01-03,2024-01-25,21800,PE,153.39,169.04,140.87,156.52,100000
2024-01-04,2024-01-04,21650,CE,101.66,112.03,93.36,103.73,100000
2024-01-04,2024-01-04,21650,PE,21.3,23.47,19.56,21.73,100000
2024-01-04,2024-01-04,21700,CE,52.66,58.03,48.36,53.73,100000
2024-01-04,2024-01-04,21700,PE,21.3,23.47,19.56,21.73,100000
2024-01-04,2024-01-04,21750,CE,21.3,23.47,19.56,21.73,100000
2024-01-04,2024-01-04,21750,PE,38.94,42.91,35.76,39.73,100000
2024-01-04,2024-01-04,21800,CE,21.3,23.47,19.56,21.73,100000
2024-01-04,2024-01-04,21800,PE,87.94,96.91,80.76,89.73,100000
2024-01-04,2024-01-04,21850,CE,21.3,23.47,19.56,21.73,100000
2024-01-04,2024-01-04,21850,PE,136.94,150.91,125.76,139.73,100000
2024-01-04,2024-01-11,21650,CE,111.6,122.98,102.49,113.87,100000
2024-01-04,2024-01-11,21650,PE,31.24,34.42,28.69,31.87,100000
2024-01-04,2024-01-11,21700,CE,62.6,68.98,57.49,63.87,100000
2024-01-04,2024-01-11,21700,PE,31.24,34.42,28.69,31.87,100000
2024-01-04,2024-01-11,21750,CE,31.24,34.42,28.69,31.87,100000
2024-01-04,2024-01-11,21750,PE,48.88,53.86,44.89,49.87,100000
2024-01-04,2024-01-11,21800,CE,31.24,34.42,28.69,31.87,100000
2024-01-04,2024-01-11,21800,PE,97.88,107.86,89.89,99.87,100000
2024-01-04,2024-01-11,21850,CE,31.24,34.42,28.69,31.87,100000
2024-01-04,2024-01-11,21850,PE,146.88,161.86,134.89,149.87,100000
2024-01-04,2024-01-18,21650,CE,121.53,133.94,111.61,124.02,100000
2024-01-04,2024-01-18,21650,PE,41.17,45.38,37.81,42.02,100000
2024-01-04,2024-01-18,21700,CE,72.53,79.94,66.61,74.02,100000
2024-01-04,2024-01-18,21700,PE,41.17,45.38,37.81,42.02,100000
2024-01-04,2024-01-18,21750,CE,41.17,45.38,37.81,42.02,100000
2024-01-04,2024-01-18,21750,PE,58.81,64.82,54.01,60.02,100000
2024-01-04,2024-01-18,21800,CE,41.17,45.38,37.81,42.02,100000
2024-01-04,2024-01-18,21800,PE,107.81,118.82,99.01,110.02,100000
2024-01-04,2024-01-18,21850,CE,41.17,45.38,37.81,42.02,100000
2024-01-04,2024-01-18,21850,PE,156.81,172.82,144.01,160.02,100000
2024-01-04,2024-01-25,21650,CE,131.47,144.89,120.74,134.16,100000
2024-01-04,2024-01-25,21650,PE,51.11,56.33,46.94,52.16,100000
2024-01-04,2024-01-25,21700,CE,82.47,90.89,75.74,84.16,100000
2024-01-04,2024-01-25,21700,PE,51.11,56.33,46.94,52.16,100000
2024-01-04,2024-01-25,21750,CE,51.11,56.33,46.94,52.16,100000
2024-01-04,2024-01-25,21750,PE,68.75,75.77,63.14,70.16,100000
2024-01-04,2024-01-25,21800,CE,51.11,56.33,46.94,52.16,100000
2024-01-04,2024-01-25,21800,PE,117.75,129.77,108.14,120.16,100000
2024-01-04,2024-01-25,21850,CE,51.11,56.33,46.94,52.16,100000
2024-01-04,2024-01-25,21850,PE,166.75,183.77,153.14,170.16,100000
2024-01-05,2024-01-11,21700,CE,113.19,124.74,103.95,115.5,100000
2024-01-05,2024-01-11,21700,PE,29.89,32.94,27.45,30.5,100000
2024-01-05,2024-01-11,21750,CE,64.19,70.74,58.95,65.5,100000
2024-01-05,2024-01-11,21750,PE,29.89,32.94,27.45,30.5,100000
2024-01-05,2024-01-11,21800,CE,29.89,32.94,27.45,30.5,100000
2024-01-05,2024-01-11,21800,PE,44.59,49.14,40.95,45.5,100000
2024-01-05,2024-01-11,21850,CE,29.89,32.94,27.45,30.5,100000
2024-01-05,2024-01-11,21850,PE,93.59,103.14,85.95,95.5,100000
2024-01-05,2024-01-11,21900,CE,29.89,32.94,27.45,30.5,100000
2024-01-05,2024-01-11,21900,PE,142.59,157.14,130.95,145.5,100000
2024-01-05,2024-01-18,21700,CE,123.15,135.72,113.1,125.67,100000
2024-01-05,2024-01-18,21700,PE,39.85,43.92,36.6,40.67,100000
2024-01-05,2024-01-18,21750,CE,74.15,81.72,68.1,75.67,100000
2024-01-05,2024-01-18,21750,PE,39.85,43.92,36.6,40.67,100000
2024-01-05,2024-01-18,21800,CE,39.85,43.92,36.6,40.67,100000
2024-01-05,2024-01-18,21800,PE,54.55,60.12,50.1,55.67,100000
2024-01-05,2024-01-18,21850,CE,39.85,43.92,36.6,40.67,100000
2024-01-05,2024-01-18,21850,PE,103.55,114.12,95.1,105.67,100000
2024-01-05,2024-01-18,21900,CE,39.85,43.92,36.6,40.67,100000
2024-01-05,2024-01-18,21900,PE,152.55,168.12,140.1,155.67,100000
2024-01-05,2024-01-25,21700,CE,133.12,146.7,122.25,135.83,100000
2024-01-05,2024-01-25,21700,PE,49.82,54.9,45.75,50.83,100000
2024-01-05,2024-01-25,21750,CE,84.12,92.7,77.25,85.83,100000
2024-01-05,2024-01-25,21750,PE,49.82,54.9,45.75,50.83,100000
2024-01-05,2024-01-25,21800,CE,49.82,54.9,45.75,50.83,100000
2024-01-05,2024-01-25,21800,PE,64.52,71.1,59.25,65.83,100000
2024-01-05,2024-01-25,21850,CE,49.82,54.9,45.75,50.83,100000
2024-01-05,2024-01-25,21850,PE,113.52,125.1,104.25,115.83,100000
2024-01-05,2024-01-25,21900,CE,49.82,54.9,45.75,50.83,100000
2024-01-05,2024-01-25,21900,PE,162.52,179.1,149.25,165.83,100000
2024-01-05,2024-02-01,21700,CE,143.08,157.68,131.4,146.0,100000
2024-01-05,2024-02-01,21700,PE,59.78,65.88,54.9,61.0,100000
2024-01-05,2024-02-01,21750,CE,94.08,103.68,86.4,96.0,100000
2024-01-05,2024-02-01,21750,PE,59.78,65.88,54.9,61.0,100000
2024-01-05,2024-02-01,21800,CE,59.78,65.88,54.9,61.0,100000
2024-01-05,2024-02-01,21800,PE,74.48,82.08,68.4,76.0,100000
2024-01-05,2024-02-01,21850,CE,59.78,65.88,54.9,61.0,100000
2024-01-05,2024-02-01,21850,PE,123.48,136.08,113.4,126.0,100000
2024-01-05,2024-02-01,21900,CE,59.78,65.88,54.9,61.0,100000
2024-01-05,2024-02-01,21900,PE,172.48,190.08,158.4,176.0,100000
2024-01-08,2024-01-11,21750,CE,129.58,142.81,119.0,132.23,100000
2024-01-08,2024-01-11,21750,PE,25.7,28.33,23.6,26.23,100000
2024-01-08,2024-01-11,21800,CE,80.58,88.81,74.0,82.23,100000
2024-01-08,2024-01-11,21800,PE,25.7,28.33,23.6,26.23,100000
2024-01-08,2024-01-11,21850,CE,31.58,34.81,29.0,32.23,100000
2024-01-08,2024-01-11,21850,PE,25.7,28.33,23.6,26.23,100000
2024-01-08,2024-01-11,21900,CE,25.7,28.33,23.6,26.23,100000
2024-01-08,2024-01-11,21900,PE,68.82,75.85,63.2,70.23,100000
2024-01-08,2024-01-11,21950,CE,25.7,28.33,23.6,26.23,100000
2024-01-08,2024-01-11,21950,PE,117.82,129.85,108.2,120.23,100000
2024-01-08,2024-01-18,21750,CE,139.58,153.82,128.18,142.43,100000
2024-01-08,2024-01-18,21750,PE,35.7,39.34,32.78,36.43,100000
2024-01-08,2024-01-18,21800,CE,90.58,99.82,83.18,92.43,100000
2024-01-08,2024-01-18,21800,PE,35.7,39.34,32.78,36.43,100000
2024-01-08,2024-01-18,21850,CE,41.58,45.82,38.18,42.43,100000
2024-01-08,2024-01-18,21850,PE,35.7,39.34,32.78,36.43,100000
2024-01-08,2024-01-18,21900,CE,35.7,39.34,32.78,36.43,100000
2024-01-08,2024-01-18,21900,PE,78.82,86.86,72.38,80.43,100000
2024-01-08,2024-01-18,21950,CE,35.7,39.34,32.78,36.43,100000
2024-01-08,2024-01-18,21950,PE,127.82,140.86,117.38,130.43,100000
2024-01-08,2024-01-25,21750,CE,149.57,164.84,137.36,152.63,100000
2024-01-08,2024-01-25,21750,PE,45.69,50.36,41.96,46.63,100000
2024-01-08,2024-01-25,21800,CE,100.57,110.84,92.36,102.63,100000
2024-01-08,2024-01-25,21800,PE,45.69,50.36,41.96,46.63,100000
2024-01-08,2024-01-25,21850,CE,51.57,56.84,47.36,52.63,100000
2024-01-08,2024-01-25,21850,PE,45.69,50.36,41.96,46.63,100000
2024-01-08,2024-01-25,21900,CE,45.69,50.36,41.96,46.63,100000
2024-01-08,2024-01-25,21900,PE,88.81,97.88,81.56,90.63,100000
2024-01-08,2024-01-25,21950,CE,45.69,50.36,41.96,46.63,100000
2024-01-08,2024-01-25,21950,PE,137.81,151.88,126.56,140.63,100000
2024-01-08,2024-02-01,21750,CE,159.57,175.85,146.54,162.83,100000
2024-01-08,2024-02-01,21750,PE,55.69,61.37,51.14,56.83,100000
2024-01-08,2024-02-01,21800,CE,110.57,121.85,101.54,112.83,100000
2024-01-08,2024-02-01,21800,PE,55.69,61.37,51.14,56.83,100000
2024-01-08,2024-02-01,21850,CE,61.57,67.85,56.54,62.83,100000
2024-01-08,2024-02-01,21850,PE,55.69,61.37,51.14,56.83,100000
2024-01-08,2024-02-01,21900,CE,55.69,61.37,51.14,56.83,100000
2024-01-08,2024-02-01,21900,PE,98.81,108.89,90.74,100.83,100000
2024-01-08,2024-02-01,21950,CE,55.69,61.37,51.14,56.83,100000
2024-01-08,2024-02-01,21950,PE,147.81,162.89,135.74,150.83,100000
2024-01-09,2024-01-11,21850,CE,117.47,129.46,107.88,119.87,100000
2024-01-09,2024-01-11,21850,PE,24.37,26.86,22.38,24.87,100000
2024-01-09,2024-01-11,21900,CE,68.47,75.46,62.88,69.87,100000
2024-01-09,2024-01-11,21900,PE,24.37,26.86,22.38,24.87,100000
2024-01-09,2024-01-11,21950,CE,24.37,26.86,22.38,24.87,100000
2024-01-09,2024-01-11,21950,PE,29.27,32.26,26.88,29.87,100000
2024-01-09,2024-01-11,22000,CE,24.37,26.86,22.38,24.87,100000
2024-01-09,2024-01-11,22000,PE,78.27,86.26,71.88,79.87,100000
2024-01-09,2024-01-11,22050,CE,24.37,26.86,22.38,24.87,100000
2024-01-09,2024-01-11,22050,PE,127.27,140.26,116.88,129.87,100000
2024-01-09,2024-01-18,21850,CE,127.51,140.52,117.1,130.11,100000
2024-01-09,2024-01-18,21850,PE,34.41,37.92,31.6,35.11,100000
2024-01-09,2024-01-18,21900,CE,78.51,86.52,72.1,80.11,100000
2024-01-09,2024-01-18,21900,PE,34.41,37.92,31.6,35.11,100000
2024-01-09,2024-01-18,21950,CE,34.41,37.92,31.6,35.11,100000
2024-01-09,2024-01-18,21950,PE,39.31,43.32,36.1,40.11,100000
2024-01-09,2024-01-18,22000,CE,34.41,37.92,31.6,35.11,100000
2024-01-09,2024-01-18,22000,PE,88.31,97.32,81.1,90.11,100000
2024-01-09,2024-01-18,22050,CE,34.41,37.92,31.6,35.11,100000
2024-01-09,2024-01-18,22050,PE,137.31,151.32,126.1,140.11,100000
2024-01-09,2024-01-25,21850,CE,137.55,151.58,126.32,140.35,100000
2024-01-09,2024-01-25,21850,PE,44.45,48.98,40.82,45.35,100000
2024-01-09,2024-01-25,21900,CE,88.55,97.58,81.32,90.35,100000
2024-01-09,2024-01-25,21900,PE,44.45,48.98,40.82,45.35,100000
2024-01-09,2024-01-25,21950,CE,44.45,48.98,40.82,45.35,100000
2024-01-09,2024-01-25,21950,PE,49.35,54.38,45.32,50.35,100000
2024-01-09,2024-01-25,22000,CE,44.45,48.98,40.82,45.35,100000
2024-01-09,2024-01-25,22000,PE,98.35,108.38,90.32,100.35,100000
2024-01-09,2024-01-25,22050,CE,44.45,48.98,40.82,45.35,100000
2024-01-09,2024-01-25,22050,PE,147.35,162.38,135.32,150.35,100000
2024-01-09,2024-02-01,21850,CE,147.58,162.64,135.53,150.59,100000
2024-01-09,2024-02-01,21850,PE,54.48,60.04,50.03,55.59,100000
2024-01-09,2024-02-01,21900,CE,98.58,108.64,90.53,100.59,100000
2024-01-09,2024-02-01,21900,PE,54.48,60.04,50.03,55.59,100000
2024-01-09,2024-02-01,21950,CE,54.48,60.04,50.03,55.59,100000
2024-01-09,2024-02-01,21950,PE,59.38,65.44,54.53,60.59,100000
2024-01-09,2024-02-01,22000,CE,54.48,60.04,50.03,55.59,100000
2024-01-09,2024-02-01,22000,PE,108.38,119.44,99.53,110.59,100000
2024-01-09,2024-02-01,22050,CE,54.48,60.04,50.03,55.59,100000
2024-01-09,2024-02-01,22050,PE,157.38,173.44,144.53,160.59,100000
2024-01-10,2024-01-11,21850,CE,97.4,107.34,89.45,99.39,100000
2024-01-10,2024-01-11,21850,PE,22.92,25.26,21.05,23.39,100000
2024-01-10,2024-01-11,21900,CE,48.4,53.34,44.45,49.39,100000
2024-01-10,2024-01-11,21900,PE,22.92,25.26,21.05,23.39,100000
2024-01-10,2024-01-11,21950,CE,22.92,25.26,21.05,23.39,100000
2024-01-10,2024-01-11,21950,PE,46.44,51.18,42.65,47.39,100000
2024-01-10,2024-01-11,22000,CE,22.92,25.26,21.05,23.39,100000
2024-01-10,2024-01-11,22000,PE,95.44,105.18,87.65,97.39,100000
2024-01-10,2024-01-11,22050,CE,22.92,25.26,21.05,23.39,100000
2024-01-10,2024-01-11,22050,PE,144.44,159.18,132.65,147.39,100000
2024-01-10,2024-01-18,21850,CE,107.43,118.39,98.66,109.62,100000
2024-01-10,2024-01-18,21850,PE,32.95,36.31,30.26,33.62,100000
2024-01-10,2024-01-18,21900,CE,58.43,64.39,53.66,59.62,100000
2024-01-10,2024-01-18,21900,PE,32.95,36.31,30.26,33.62,100000
2024-01-10,2024-01-18,21950,CE,32.95,36.31,30.26,33.62,100000
2024-01-10,2024-01-18,21950,PE,56.47,62.23,51.86,57.62,100000
2024-01-10,2024-01-18,22000,CE,32.95,36.31,30.26,33.62,100000
2024-01-10,2024-01-18,22000,PE,105.47,116.23,96.86,107.62,100000
2024-01-10,2024-01-18,22050,CE,32.95,36.31,30.26,33.62,100000
2024-01-10,2024-01-18,22050,PE,154.47,170.23,141.86,157.62,100000
2024-01-10,2024-01-25,21850,CE,117.45,129.44,107.87,119.85,100000
2024-01-10,2024-01-25,21850,PE,42.97,47.36,39.47,43.85,100000
2024-01-10,2024-01-25,21900,CE,68.45,75.44,62.87,69.85,100000
2024-01-10,2024-01-25,21900,PE,42.97,47.36,39.47,43.85,100000
2024-01-10,2024-01-25,21950,CE,42.97,47.36,39.47,43.85,100000
2024-01-10,2024-01-25,21950,PE,66.49,73.28,61.07,67.85,100000
2024-01-10,2024-01-25,22000,CE,42.97,47.36,39.47,43.85,100000
2024-01-10,2024-01-25,22000,PE,115.49,127.28,106.07,117.85,100000
2024-01-10,2024-01-25,22050,CE,42.97,47.36,39.47,43.85,100000
2024-01-10,2024-01-25,22050,PE,164.49,181.28,151.07,167.85,100000
2024-01-10,2024-02-01,21850,CE,127.48,140.49,117.08,130.08,100000
2024-01-10,2024-02-01,21850,PE,53.0,58.41,48.68,54.08,100000
2024-01-10,2024-02-01,21900,CE,78.48,86.49,72.08,80.08,100000
2024-01-10,2024-02-01,21900,PE,53.0,58.41,48.68,54.08,100000
2024-01-10,2024-02-01,21950,CE,53.0,58.41,48.68,54.08,100000
2024-01-10,2024-02-01,21950,PE,76.52,84.33,70.28,78.08,100000
2024-01-10,2024-02-01,22000,CE,53.0,58.41,48.68,54.08,100000
2024-01-10,2024-02-01,22000,PE,125.52,138.33,115.28,128.08,100000
2024-01-10,2024-02-01,22050,CE,53.0,58.41,48.68,54.08,100000
2024-01-10,2024-02-01,22050,PE,174.52,192.33,160.28,178.08,100000
2024-01-11,2024-01-11,21800,CE,143.99,158.68,132.23,146.93,100000
2024-01-11,2024-01-11,21800,PE,21.49,23.68,19.73,21.93,100000
2024-01-11,2024-01-11,21850,CE,94.99,104.68,87.23,96.92,100000
2024-01-11,2024-01-11,21850,PE,21.49,23.68,19.73,21.93,100000
2024-01-11,2024-01-11,21900,CE,45.99,50.68,42.23,46.92,100000
2024-01-11,2024-01-11,21900,PE,21.49,23.68,19.73,21.93,100000
2024-01-11,2024-01-11,21950,CE,21.49,23.68,19.73,21.93,100000
2024-01-11,2024-01-11,21950,PE,45.99,50.68,42.23,46.92,100000
2024-01-11,2024-01-11,22000,CE,21.49,23.68,19.73,21.93,100000
2024-01-11,2024-01-11,22000,PE,94.99,104.68,87.23,96.92,100000
2024-01-11,2024-01-18,21800,CE,154.01,169.73,141.44,157.16,100000
2024-01-11,2024-01-18,21800,PE,31.51,34.73,28.94,32.16,100000
2024-01-11,2024-01-18,21850,CE,105.01,115.73,96.44,107.16,100000
2024-01-11,2024-01-18,21850,PE,31.51,34.73,28.94,32.16,100000
2024-01-11,2024-01-18,21900,CE,56.01,61.73,51.44,57.16,100000
2024-01-11,2024-01-18,21900,PE,31.51,34.73,28.94,32.16,100000
2024-01-11,2024-01-18,21950,CE,31.51,34.73,28.94,32.16,100000
2024-01-11,2024-01-18,21950,PE,56.01,61.73,51.44,57.16,100000
2024-01-11,2024-01-18,22000,CE,31.51,34.73,28.94,32.16,100000
2024-01-11,2024-01-18,22000,PE,105.01,115.73,96.44,107.16,100000
2024-01-11,2024-01-25,21800,CE,164.04,180.78,150.65,167.39,100000
2024-01-11,2024-01-25,21800,PE,41.54,45.78,38.15,42.39,100000
2024-01-11,2024-01-25,21850,CE,115.04,126.78,105.65,117.39,100000
2024-01-11,2024-01-25,21850,PE,41.54,45.78,38.15,42.39,100000
2024-01-11,2024-01-25,21900,CE,66.04,72.78,60.65,67.39,100000
2024-01-11,2024-01-25,21900,PE,41.54,45.78,38.15,42.39,100000
2024-01-11,2024-01-25,21950,CE,41.54,45.78,38.15,42.39,100000
2024-01-11,2024-01-25,21950,PE,66.04,72.78,60.65,67.39,100000
2024-01-11,2024-01-25,22000,CE,41.54,45.78,38.15,42.39,100000
2024-01-11,2024-01-25,22000,PE,115.04,126.78,105.65,117.39,100000
2024-01-11,2024-02-01,21800,CE,174.07,191.83,159.86,177.62,100000
2024-01-11,2024-02-01,21800,PE,51.57,56.83,47.36,52.62,100000
2024-01-11,2024-02-01,21850,CE,125.07,137.83,114.86,127.62,100000
2024-01-11,2024-02-01,21850,PE,51.57,56.83,47.36,52.62,100000
2024-01-11,2024-02-01,21900,CE,76.07,83.83,69.86,77.62,100000
2024-01-11,2024-02-01,21900,PE,51.57,56.83,47.36,52.62,100000
2024-01-11,2024-02-01,21950,CE,51.57,56.83,47.36,52.62,100000
